participant_id,data_file,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,CURRENT_SAC_DURATION,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_INDEX,CURRENT_SAC_START_TIME,CURRENT_SAC_END_TIME,CURRENT_SAC_DIRECTION,CURRENT_SAC_ANGLE,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_START_INTEREST_AREA_LABEL,CURRENT_SAC_END_INTEREST_AREA_LABEL,CURRENT_SAC_START_INTEREST_AREA_ID,CURRENT_SAC_END_INTEREST_AREA_ID,sentence,voice_id,image_id,stim_id,image,stimulus_file,session_var,exp_id,language,audio,aoi_type_start,aoi_type_end,saccade_transition,trial_id,time_from_trial_start,sentence_clean,merge_key,total_trial_duration,trial_duration,total_fixations_subject_object
edf01,saccade_edf01_2025_04_08_13_47.xls,29,Trial: 29,2655554,126,0.65,1065.74,3359.49,4,7508,7632,UP,132.22,1097.1,303.2,1073.4,277.1,s_child_child_throw_frisbee,s_child_child_throw_frisbee,2.0,2.0,exp_images/sentences/active_child_frisbee.jpg,ACT,IMG_12,STIM_66,exp_images/images/child_throw_frisbee.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_12_E_ACT,ENGLISH,exp_images/audio\ENGLISH\frisbee.wav,subject,subject,subject_to_subject,edf01_29,-2648046,exp_images/sentences/active_child_frisbee.jpg,edf01|29|exp_images/sentences/active_child_frisbee.jpg,4691.0,4993.0,7.0
edf01,saccade_edf01_2025_04_08_13_47.xls,36,Trial: 36,2757428,816,4.82,366.79,1185.28,2,6518,7332,RIGHT,-24.31,938.4,554.9,1179.7,664.5,o_vase_boy_broke_vase,.,3.0,,exp_images/sentences/noagent_boy_vase.jpg,PNA,IMG_08,STIM_98,exp_images/images/boy_broke_vase.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_08_E_PNA,ENGLISH,exp_images/audio\ENGLISH\p_woa_vase.wav,object,other,other,edf01_36,-2750910,exp_images/sentences/noagent_boy_vase.jpg,edf01|36|exp_images/sentences/noagent_boy_vase.jpg,3836.0,4992.0,6.0
edf07,saccade_edf07_2025_04_11_17_09.xls,30,Trial: 30,1431746,1884,12.99,137.57,714.79,5,8814,10696,RIGHT,17.8,-279.1,331.5,461.5,101.1,.,.,,,exp_images/sentences/active_child_tabla.jpg,ACT,IMG_11,STIM_65,exp_images/images/child_play_tabla.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_11_E_ACT,ENGLISH,exp_images/audio\ENGLISH\tabla.wav,other,other,other,edf07_30,-1422932,exp_images/sentences/active_child_tabla.jpg,edf07|30|exp_images/sentences/active_child_tabla.jpg,7045.0,5350.0,5.0
edf07,saccade_edf07_2025_04_11_17_09.xls,32,Trial: 32,1461006,3486,28.51,444.1,993.81,1,3746,7230,UP,108.48,60.2,1308.8,-522.2,-401.3,.,.,,,exp_images/sentences/passive_girl_cake.jpg,PWA,IMG_15,STIM_87,exp_images/images/girl_baked_cake.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_15_E_PWA,ENGLISH,exp_images/audio\ENGLISH\p_cake.wav,other,other,other,edf07_32,-1457260,exp_images/sentences/passive_girl_cake.jpg,edf07|32|exp_images/sentences/passive_girl_cake.jpg,8103.0,5542.0,9.0
edf07,saccade_edf07_2025_04_11_17_09.xls,33,Trial: 33,1476096,2354,1.6,248.14,972.48,8,8632,10984,RIGHT,-2.17,347.9,1381.4,444.0,1385.2,.,.,,,exp_images/sentences/passive_girl_window.jpg,PWA,IMG_02,STIM_74,exp_images/images/girl_opened_window.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_02_E_PWA,ENGLISH,exp_images/audio\ENGLISH\p_window.wav,other,other,other,edf07_33,-1467464,exp_images/sentences/passive_girl_window.jpg,edf07|33|exp_images/sentences/passive_girl_window.jpg,6536.0,4993.0,9.0
edf07,saccade_edf07_2025_04_11_17_09.xls,35,Trial: 35,1506146,3966,11.85,162.25,2153.52,1,5252,9216,UP,71.49,473.4,799.7,690.1,150.6,.,.,,,exp_images/sentences/noagent_boy_vegetables.jpg,PNA,IMG_18,STIM_108,exp_images/images/boy_cut_vegetables.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_18_E_PNA,ENGLISH,exp_images/audio\ENGLISH\p_woa_veg.wav,other,other,other,edf07_35,-1500894,exp_images/sentences/noagent_boy_vegetables.jpg,edf07|35|exp_images/sentences/noagent_boy_vegetables.jpg,6628.0,5563.0,5.0
edf09,saccade_edf09_2025_04_15_13_10.xls,14,Trial: 15,1050458,324,21.79,1067.39,1907.37,16,5372,5694,RIGHT,14.29,1338.5,775.5,2676.2,448.3,o_hole_dog_dug_hole,.,3.0,,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,exp_images/images/dog_dug_hole.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,other,other,edf09_14,-1045086,UNDEFINED,edf09|14|UNDEFINED,,,
edf09,saccade_edf09_2025_04_15_13_10.xls,35,Trial: 36,1345864,748,9.34,1065.56,4217.89,8,9294,10040,DOWN,-94.75,957.4,340.7,912.7,882.7,s_boy_boy_cut_vegetables,o_veg_boy_cut_vegetables,1.0,2.0,exp_images/sentences/Veg-passive.jpg,PWA,IMG_18,STIM_36,exp_images/images/boy_cut_vegetables.jpg,stimuli_list_subj_9_a.csv,experiment,IMG_18_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_veg.wav,subject,object,subject_to_object,edf09_35,-1336570,exp_images/sentences/Veg-passive.jpg,edf09|35|exp_images/sentences/Veg-passive.jpg,4004.0,4992.0,9.0
edf10,saccade_edf10_2025_04_16_12_21.xls,12,Trial: 12,2261500,538,15.16,410.09,1886.56,13,4566,5102,LEFT,-142.82,737.3,639.5,21.0,1187.8,s_dog_dog_dug_hole,.,2.0,,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,exp_images/images/dog_dug_hole.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,other,other,edf10_12,-2256934,UNDEFINED,edf10|12|UNDEFINED,,,
edf10,saccade_edf10_2025_04_16_12_21.xls,26,Trial: 26,2468172,1558,28.48,125.57,1251.55,10,8022,9578,LEFT,-147.93,670.3,484.9,-915.4,1444.6,o_tree_girl_plant_tree,.,2.0,,exp_images/sentences/noagent_girl_sapling.jpg,PNA,IMG_03,STIM_93,exp_images/images/girl_plant_tree.jpg,stimuli_list_subj_10_a.csv,experiment,IMG_03_E_PNA,ENGLISH,exp_images/audio\ENGLISH\p_woa_sapling.wav,object,other,other,edf10_26,-2460150,exp_images/sentences/noagent_girl_sapling.jpg,edf10|26|exp_images/sentences/noagent_girl_sapling.jpg,6000.0,5156.0,23.0
edf19,saccade_edf19_2025_04_28_13_28.xls,12,Trial: 13,1542621,190,2.34,1042.1,2989.37,6,2956,3144,RIGHT,22.06,765.5,425.1,898.1,372.5,.,.,,,UNDEFINED,UNDEFINED,IMG_12,UNDEFINED,exp_images/images/child_throw_frisbee.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,other,other,other,edf19_12,-1539665,UNDEFINED,edf19|12|UNDEFINED,,,
edf19,saccade_edf19_2025_04_28_13_28.xls,22,Trial: 23,1686001,878,4.71,767.7,2489.32,2,6380,7256,DOWN,-65.62,842.8,523.3,958.1,778.1,s_girl_girl_fed_dog,o_dog_girl_fed_dog,2.0,3.0,exp_images/sentences/Fed-dog-passive.jpg,PWA,IMG_16,STIM_34,exp_images/images/girl_fed_dog.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_16_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_fed.wav,subject,object,subject_to_object,edf19_22,-1679621,exp_images/sentences/Fed-dog-passive.jpg,edf19|22|exp_images/sentences/Fed-dog-passive.jpg,1893.0,4993.0,11.0
edf19,saccade_edf19_2025_04_28_13_28.xls,22,Trial: 23,1686001,1122,4.45,1081.72,3349.73,4,7828,8948,LEFT,153.69,960.0,712.8,723.4,595.7,o_dog_girl_fed_dog,s_girl_girl_fed_dog,3.0,2.0,exp_images/sentences/Fed-dog-passive.jpg,PWA,IMG_16,STIM_34,exp_images/images/girl_fed_dog.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_16_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_fed.wav,object,subject,object_to_subject,edf19_22,-1678173,exp_images/sentences/Fed-dog-passive.jpg,edf19|22|exp_images/sentences/Fed-dog-passive.jpg,1893.0,4993.0,11.0
edf19,saccade_edf19_2025_04_28_13_28.xls,22,Trial: 23,1686001,662,6.41,849.95,3085.02,10,10356,11016,DOWN,-75.31,827.5,351.4,923.9,719.5,s_girl_girl_fed_dog,o_dog_girl_fed_dog,2.0,3.0,exp_images/sentences/Fed-dog-passive.jpg,PWA,IMG_16,STIM_34,exp_images/images/girl_fed_dog.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_16_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_fed.wav,subject,object,subject_to_object,edf19_22,-1675645,exp_images/sentences/Fed-dog-passive.jpg,edf19|22|exp_images/sentences/Fed-dog-passive.jpg,1893.0,4993.0,11.0
edf19,saccade_edf19_2025_04_28_13_28.xls,23,Trial: 24,1700891,112,0.18,1210.95,2811.35,5,6282,6392,.,61.4,667.0,742.7,672.0,733.5,s_driver_driver_wash_scooter,s_driver_driver_wash_scooter,2.0,2.0,exp_images/sentences/Washed-scooter-passive.jpg,PWA,IMG_14,STIM_32,exp_images/images/driver_wash_scooter.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_14_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_scooter.wav,subject,subject,subject_to_subject,edf19_23,-1694609,exp_images/sentences/Washed-scooter-passive.jpg,edf19|23|exp_images/sentences/Washed-scooter-passive.jpg,3924.0,4992.0,16.0
edf19,saccade_edf19_2025_04_28_13_28.xls,24,Trial: 25,1715015,418,12.89,1442.27,5987.45,5,6384,6800,LEFT,153.68,1118.5,549.2,429.1,209.0,o_picture_artiste_drew_picture,.,2.0,,exp_images/sentences/Painting-passive.jpg,PWA,IMG_07,STIM_25,exp_images/images/artiste_drew_picture.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_07_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_picture.wav,object,other,other,edf19_24,-1708631,exp_images/sentences/Painting-passive.jpg,edf19|24|exp_images/sentences/Painting-passive.jpg,2924.0,4942.0,11.0
edf19,saccade_edf19_2025_04_28_13_28.xls,25,Trial: 26,1729133,874,4.44,1125.35,5489.45,2,6054,6926,UP,46.11,741.0,638.9,924.0,448.7,o_tree_girl_plant_tree,s_girl_girl_plant_tree,2.0,3.0,exp_images/sentences/Sapling-woa.jpg,PNA,IMG_03,STIM_39,exp_images/images/girl_plant_tree.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_03_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_sapling.wav,object,subject,object_to_subject,edf19_25,-1723079,exp_images/sentences/Sapling-woa.jpg,edf19|25|exp_images/sentences/Sapling-woa.jpg,2010.0,4632.0,5.0
edf19,saccade_edf19_2025_04_28_13_28.xls,25,Trial: 26,1729133,856,0.17,793.09,3915.19,4,7272,8126,.,78.24,955.1,502.1,957.1,492.5,s_girl_girl_plant_tree,s_girl_girl_plant_tree,3.0,3.0,exp_images/sentences/Sapling-woa.jpg,PNA,IMG_03,STIM_39,exp_images/images/girl_plant_tree.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_03_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_sapling.wav,subject,subject,subject_to_subject,edf19_25,-1721861,exp_images/sentences/Sapling-woa.jpg,edf19|25|exp_images/sentences/Sapling-woa.jpg,2010.0,4632.0,5.0
edf19,saccade_edf19_2025_04_28_13_28.xls,25,Trial: 26,1729133,706,5.56,1389.66,3193.25,8,9186,9890,LEFT,147.82,963.8,525.0,685.1,349.6,s_girl_girl_plant_tree,.,3.0,,exp_images/sentences/Sapling-woa.jpg,PNA,IMG_03,STIM_39,exp_images/images/girl_plant_tree.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_03_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_sapling.wav,subject,other,other,edf19_25,-1719947,exp_images/sentences/Sapling-woa.jpg,edf19|25|exp_images/sentences/Sapling-woa.jpg,2010.0,4632.0,5.0
edf19,saccade_edf19_2025_04_28_13_28.xls,25,Trial: 26,1729133,78,29.92,1256.71,2526.31,10,10292,10368,RIGHT,-33.37,-243.9,-508.3,1291.4,497.3,.,.,,,exp_images/sentences/Sapling-woa.jpg,PNA,IMG_03,STIM_39,exp_images/images/girl_plant_tree.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_03_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_sapling.wav,other,other,other,edf19_25,-1718841,exp_images/sentences/Sapling-woa.jpg,edf19|25|exp_images/sentences/Sapling-woa.jpg,2010.0,4632.0,5.0
edf19,saccade_edf19_2025_04_28_13_28.xls,26,Trial: 27,1743359,570,4.13,660.57,2499.7,3,6050,6618,LEFT,-178.69,1087.8,410.5,843.1,416.1,s_child_child_throw_frisbee,o_frisbee_child_throw_frisbee,2.0,3.0,exp_images/sentences/Frisbee-woa.jpg,PNA,IMG_12,STIM_48,exp_images/images/child_throw_frisbee.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_12_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_frisbee.wav,subject,object,subject_to_object,edf19_26,-1737309,exp_images/sentences/Frisbee-woa.jpg,edf19|26|exp_images/sentences/Frisbee-woa.jpg,2745.0,4993.0,7.0
edf19,saccade_edf19_2025_04_28_13_28.xls,26,Trial: 27,1743359,1038,3.27,1239.23,4023.6,5,6986,8022,LEFT,150.58,1121.4,419.9,952.0,324.7,s_child_child_throw_frisbee,.,2.0,,exp_images/sentences/Frisbee-woa.jpg,PNA,IMG_12,STIM_48,exp_images/images/child_throw_frisbee.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_12_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_frisbee.wav,subject,other,other,edf19_26,-1736373,exp_images/sentences/Frisbee-woa.jpg,edf19|26|exp_images/sentences/Frisbee-woa.jpg,2745.0,4993.0,7.0
edf19,saccade_edf19_2025_04_28_13_28.xls,28,Trial: 29,1771807,210,1.71,1017.26,2874.15,8,9454,9662,RIGHT,22.27,817.0,458.9,910.7,420.6,s_man_man_pushed_box,s_man_man_pushed_box,3.0,3.0,exp_images/sentences/active_man_box.jpg,ACT,IMG_05,STIM_59,exp_images/images/man_pushed_box.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_05_E_ACT,ENGLISH,exp_images/audio\ENGLISH\box.wav,subject,subject,subject_to_subject,edf19_28,-1762353,exp_images/sentences/active_man_box.jpg,edf19|28|exp_images/sentences/active_man_box.jpg,4294.0,4992.0,10.0
edf19,saccade_edf19_2025_04_28_13_28.xls,31,Trial: 32,1816203,286,4.49,1205.34,3409.43,9,9190,9474,RIGHT,5.37,874.2,620.3,1138.4,595.5,s_dog_dog_dug_hole,.,2.0,,exp_images/sentences/passive_dog_hole.jpg,PWA,IMG_13,STIM_85,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_7_b.csv,experiment,IMG_13_E_PWA,ENGLISH,exp_images/audio\ENGLISH\p_dug.wav,subject,other,other,edf19_31,-1807013,exp_images/sentences/passive_dog_hole.jpg,edf19|31|exp_images/sentences/passive_dog_hole.jpg,4425.0,4993.0,11.0
edf21,saccade_edf21_2025_05_05_13_21.xls,33,Trial: 33,1164806,1218,3.78,571.03,2523.13,5,9028,10244,DOWN,-72.7,919.0,339.1,985.5,552.8,s_girl_girl_baked_cake,o_cake_girl_baked_cake,2.0,3.0,exp_images/sentences/Cake.jpg,ACT,IMG_15,STIM_15,exp_images/images/girl_baked_cake.jpg,stimuli_list_subj_9_b.csv,experiment,IMG_15_P_ACT,PUNJABI,exp_images/audio\PUNJABI\cake.wav,subject,object,subject_to_object,edf21_33,-1155778,exp_images/sentences/Cake.jpg,edf21|33|exp_images/sentences/Cake.jpg,3392.0,4992.0,6.0
edf22,saccade_edf22_2025_05_08_11_37.xls,26,Trial: 26,2678780,1802,9.77,96.99,265.78,12,8898,10698,DOWN,-129.81,430.4,695.1,44.6,1152.7,.,.,,,exp_images/sentences/noagent_child_frisbee.jpg,PNA,IMG_12,STIM_102,exp_images/images/child_throw_frisbee.jpg,stimuli_list_subj_10_b.csv,experiment,IMG_12_E_PNA,ENGLISH,exp_images/audio\ENGLISH\p_woa_frisbee.wav,other,other,other,edf22_26,-2669882,exp_images/sentences/noagent_child_frisbee.jpg,edf22|26|exp_images/sentences/noagent_child_frisbee.jpg,7181.0,5377.0,16.0
edf22,saccade_edf22_2025_05_08_11_37.xls,30,Trial: 30,2737266,844,1.66,310.75,2708.44,1,5060,5902,LEFT,148.75,1017.7,427.3,933.2,376.2,o_window_girl_opened_window,s_girl_girl_opened_window,3.0,2.0,exp_images/sentences/Window.jpg,ACT,IMG_02,STIM_02,exp_images/images/girl_opened_window.jpg,stimuli_list_subj_10_b.csv,experiment,IMG_02_P_ACT,PUNJABI,exp_images/audio\PUNJABI\window.wav,object,subject,object_to_subject,edf22_30,-2732206,exp_images/sentences/Window.jpg,edf22|30|exp_images/sentences/Window.jpg,8166.0,4704.0,21.0
edf22,saccade_edf22_2025_05_08_11_37.xls,31,Trial: 31,2751546,524,2.5,269.6,656.36,1,5220,5742,UP,82.39,789.5,350.9,808.7,207.1,.,.,,,exp_images/sentences/Dog-dug-passive.jpg,PWA,IMG_13,STIM_31,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_10_b.csv,experiment,IMG_13_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_dug.wav,other,other,other,edf22_31,-2746326,exp_images/sentences/Dog-dug-passive.jpg,edf22|31|exp_images/sentences/Dog-dug-passive.jpg,5979.0,5343.0,13.0
edf22,saccade_edf22_2025_05_08_11_37.xls,31,Trial: 31,2751546,566,2.49,327.98,766.04,4,6878,7442,UP,123.83,917.1,527.5,837.2,408.3,s_dog_dog_dug_hole,.,2.0,,exp_images/sentences/Dog-dug-passive.jpg,PWA,IMG_13,STIM_31,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_10_b.csv,experiment,IMG_13_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_dug.wav,subject,other,other,edf22_31,-2744668,exp_images/sentences/Dog-dug-passive.jpg,edf22|31|exp_images/sentences/Dog-dug-passive.jpg,5979.0,5343.0,13.0
edf22,saccade_edf22_2025_05_08_11_37.xls,31,Trial: 31,2751546,1148,19.2,189.03,700.46,7,7816,8962,LEFT,-161.82,830.5,481.8,-295.1,840.3,s_dog_dog_dug_hole,.,2.0,,exp_images/sentences/Dog-dug-passive.jpg,PWA,IMG_13,STIM_31,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_10_b.csv,experiment,IMG_13_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_dug.wav,subject,other,other,edf22_31,-2743730,exp_images/sentences/Dog-dug-passive.jpg,edf22|31|exp_images/sentences/Dog-dug-passive.jpg,5979.0,5343.0,13.0
edf22,saccade_edf22_2025_05_08_11_37.xls,31,Trial: 31,2751546,1536,35.56,,0.0,8,9014,10548,RIGHT,-11.6,-1751.8,153.8,914.4,626.6,.,s_dog_dog_dug_hole,,2.0,exp_images/sentences/Dog-dug-passive.jpg,PWA,IMG_13,STIM_31,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_10_b.csv,experiment,IMG_13_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_dug.wav,other,subject,other,edf22_31,-2742532,exp_images/sentences/Dog-dug-passive.jpg,edf22|31|exp_images/sentences/Dog-dug-passive.jpg,5979.0,5343.0,13.0
